"rules","support","confidence","coverage","lift","count"
"{beef} => {root vegetables}",0.0173868835790544,0.331395348837209,0.0524656837824098,3.04036684311003,171
"{beef} => {rolls/buns}",0.0136248093543467,0.25968992248062,0.0524656837824098,1.41185759402814,134
"{beef} => {other vegetables}",0.0197254702592781,0.375968992248062,0.0524656837824098,1.94306623161308,194
"{beef} => {whole milk}",0.0212506354855109,0.405038759689922,0.0524656837824098,1.58517954697588,209
"{beef,root vegetables} => {other vegetables}",0.00793085917641078,0.456140350877193,0.0173868835790544,2.35740428317246,78
"{beef,other vegetables} => {root vegetables}",0.00793085917641078,0.402061855670103,0.0197254702592781,3.68869249115248,78
"{beef,root vegetables} => {whole milk}",0.00803253685815963,0.461988304093567,0.0173868835790544,1.80806007590936,79
"{beef,whole milk} => {root vegetables}",0.00803253685815963,0.37799043062201,0.0212506354855109,3.46785063914875,79
"{beef,yogurt} => {whole milk}",0.00610066090493137,0.521739130434783,0.0116929334011185,2.04190383916677,60
"{beef,whole milk} => {yogurt}",0.00610066090493137,0.287081339712919,0.0212506354855109,2.05790450151352,60
"{beef,rolls/buns} => {whole milk}",0.00681240467717336,0.5,0.0136248093543467,1.95682451253482,67
"{beef,whole milk} => {rolls/buns}",0.00681240467717336,0.320574162679426,0.0212506354855109,1.74286726918306,67
"{beef,other vegetables} => {whole milk}",0.00925266903914591,0.469072164948454,0.0197254702592781,1.83578382103782,91
"{beef,whole milk} => {other vegetables}",0.00925266903914591,0.435406698564593,0.0212506354855109,2.25024954302826,91
